'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':2.599213, 'head_position_x':-0.402193, 'head_position_y':1.102056, 'head_position_z':-0.4621374
'global_time':2.611358, 'head_position_x':-0.4030202, 'head_position_y':1.101145, 'head_position_z':-0.4617686
'global_time':2.62298, 'head_position_x':-0.402746, 'head_position_y':1.100851, 'head_position_z':-0.4622275
'global_time':2.634597, 'head_position_x':-0.4029813, 'head_position_y':1.100325, 'head_position_z':-0.4622814
'global_time':2.64678, 'head_position_x':-0.4024884, 'head_position_y':1.099762, 'head_position_z':-0.4630479
'global_time':2.657453, 'head_position_x':-0.4022103, 'head_position_y':1.099554, 'head_position_z':-0.4634303
'global_time':2.669426, 'head_position_x':-0.4020346, 'head_position_y':1.099284, 'head_position_z':-0.4637403
'global_time':2.681322, 'head_position_x':-0.4031462, 'head_position_y':1.098185, 'head_position_z':-0.4627545
'global_time':2.693185, 'head_position_x':-0.4030125, 'head_position_y':1.097904, 'head_position_z':-0.4629421
'global_time':2.705767, 'head_position_x':-0.4028778, 'head_position_y':1.097649, 'head_position_z':-0.4631148
'global_time':2.721752, 'head_position_x':-0.4027193, 'head_position_y':1.097397, 'head_position_z':-0.4632684
'global_time':2.733314, 'head_position_x':-0.4022102, 'head_position_y':1.097404, 'head_position_z':-0.4634396
'global_time':2.745166, 'head_position_x':-0.4020744, 'head_position_y':1.097193, 'head_position_z':-0.4634848
'global_time':2.755707, 'head_position_x':-0.4019642, 'head_position_y':1.096986, 'head_position_z':-0.4635244
'global_time':2.766837, 'head_position_x':-0.4018674, 'head_position_y':1.096758, 'head_position_z':-0.4635111
'global_time':2.778828, 'head_position_x':-0.4012643, 'head_position_y':1.096929, 'head_position_z':-0.4640498
'global_time':2.79012, 'head_position_x':-0.4011997, 'head_position_y':1.096779, 'head_position_z':-0.4640316
'global_time':2.802202, 'head_position_x':-0.4016648, 'head_position_y':1.096573, 'head_position_z':-0.4634266
'global_time':2.814006, 'head_position_x':-0.4016412, 'head_position_y':1.096454, 'head_position_z':-0.4633159
'global_time':2.825573, 'head_position_x':-0.4016226, 'head_position_y':1.096341, 'head_position_z':-0.4632374
'global_time':2.836541, 'head_position_x':-0.4016278, 'head_position_y':1.096226, 'head_position_z':-0.4631338
'global_time':2.848208, 'head_position_x':-0.4016926, 'head_position_y':1.095935, 'head_position_z':-0.4626676
'global_time':2.862429, 'head_position_x':-0.4016988, 'head_position_y':1.095828, 'head_position_z':-0.4625484
'global_time':2.879088, 'head_position_x':-0.4017005, 'head_position_y':1.095716, 'head_position_z':-0.4624557
'global_time':2.890145, 'head_position_x':-0.4001802, 'head_position_y':1.09667, 'head_position_z':-0.4629425
'global_time':2.903621, 'head_position_x':-0.3998912, 'head_position_y':1.096688, 'head_position_z':-0.4628185
'global_time':2.914759, 'head_position_x':-0.3998921, 'head_position_y':1.096634, 'head_position_z':-0.4626962
'global_time':2.92695, 'head_position_x':-0.3998781, 'head_position_y':1.096579, 'head_position_z':-0.4625725
'global_time':2.938685, 'head_position_x':-0.3998559, 'head_position_y':1.096537, 'head_position_z':-0.4624773
'global_time':2.950018, 'head_position_x':-0.4005324, 'head_position_y':1.096143, 'head_position_z':-0.4619116
'global_time':2.960846, 'head_position_x':-0.4004234, 'head_position_y':1.096206, 'head_position_z':-0.4618437
'global_time':2.97307, 'head_position_x':-0.4006372, 'head_position_y':1.095983, 'head_position_z':-0.4615649
'global_time':2.992622, 'head_position_x':-0.4000632, 'head_position_y':1.096357, 'head_position_z':-0.4618234
'global_time':3.004778, 'head_position_x':-0.4000986, 'head_position_y':1.096323, 'head_position_z':-0.4617334
'global_time':3.014644, 'head_position_x':-0.4001192, 'head_position_y':1.096285, 'head_position_z':-0.4616781
'global_time':3.032522, 'head_position_x':-0.4001476, 'head_position_y':1.096237, 'head_position_z':-0.4616005
'global_time':3.04394, 'head_position_x':-0.400184, 'head_position_y':1.096163, 'head_position_z':-0.4615184
'global_time':3.056445, 'head_position_x':-0.4002471, 'head_position_y':1.096083, 'head_position_z':-0.4614502
'global_time':3.068739, 'head_position_x':-0.4004822, 'head_position_y':1.095863, 'head_position_z':-0.4612991
'global_time':3.080419, 'head_position_x':-0.4006087, 'head_position_y':1.095724, 'head_position_z':-0.4612072
'global_time':3.091043, 'head_position_x':-0.4007237, 'head_position_y':1.095541, 'head_position_z':-0.4611358
'global_time':3.103957, 'head_position_x':-0.4008411, 'head_position_y':1.095367, 'head_position_z':-0.4610758
'global_time':3.114816, 'head_position_x':-0.4009428, 'head_position_y':1.095209, 'head_position_z':-0.4610134
'global_time':3.126946, 'head_position_x':-0.4010796, 'head_position_y':1.095052, 'head_position_z':-0.4609234
'global_time':3.138279, 'head_position_x':-0.40119, 'head_position_y':1.094877, 'head_position_z':-0.4607916
'global_time':3.149395, 'head_position_x':-0.401321, 'head_position_y':1.094725, 'head_position_z':-0.4606637
'global_time':3.160798, 'head_position_x':-0.4014663, 'head_position_y':1.09452, 'head_position_z':-0.4605086
'global_time':3.17174, 'head_position_x':-0.4016152, 'head_position_y':1.094319, 'head_position_z':-0.4603473
'global_time':3.187954, 'head_position_x':-0.4008766, 'head_position_y':1.094636, 'head_position_z':-0.4606503
'global_time':3.198984, 'head_position_x':-0.4013478, 'head_position_y':1.094523, 'head_position_z':-0.460325
'global_time':3.211352, 'head_position_x':-0.4033923, 'head_position_y':1.094016, 'head_position_z':-0.4591621
'global_time':3.222603, 'head_position_x':-0.403535, 'head_position_y':1.093805, 'head_position_z':-0.4589188
'global_time':3.233179, 'head_position_x':-0.4036587, 'head_position_y':1.093598, 'head_position_z':-0.458584
'global_time':3.245179, 'head_position_x':-0.4038032, 'head_position_y':1.093433, 'head_position_z':-0.4581728
'global_time':3.257178, 'head_position_x':-0.4038979, 'head_position_y':1.093236, 'head_position_z':-0.4577638
'global_time':3.268544, 'head_position_x':-0.4039444, 'head_position_y':1.092973, 'head_position_z':-0.4568495
'global_time':3.290538, 'head_position_x':-0.4037971, 'head_position_y':1.092374, 'head_position_z':-0.4563364
'global_time':3.30568, 'head_position_x':-0.4040176, 'head_position_y':1.091902, 'head_position_z':-0.455551
'global_time':3.316112, 'head_position_x':-0.4042372, 'head_position_y':1.091639, 'head_position_z':-0.4550644
'global_time':3.326806, 'head_position_x':-0.4046992, 'head_position_y':1.091101, 'head_position_z':-0.4544406
'global_time':3.344039, 'head_position_x':-0.4049489, 'head_position_y':1.090854, 'head_position_z':-0.4539136
'global_time':3.356515, 'head_position_x':-0.4040817, 'head_position_y':1.090901, 'head_position_z':-0.4540873
'global_time':3.369318, 'head_position_x':-0.4043935, 'head_position_y':1.090402, 'head_position_z':-0.4530492
'global_time':3.380739, 'head_position_x':-0.4045562, 'head_position_y':1.090249, 'head_position_z':-0.4525262
'global_time':3.390678, 'head_position_x':-0.4046903, 'head_position_y':1.090072, 'head_position_z':-0.451968
'global_time':3.403478, 'head_position_x':-0.4045138, 'head_position_y':1.089622, 'head_position_z':-0.4515118
