'global_time':5.53194, 'center_x':1.699999, 'center_y':2, 'center_z':6, 'gaze_x':1.768739, 'gaze_y':2.065175, 'gaze_z':5.999273
'global_time':5.546367, 'center_x':1.799999, 'center_y':2, 'center_z':6, 'gaze_x':1.905888, 'gaze_y':2.078133, 'gaze_z':5.999338
'global_time':5.559966, 'center_x':1.899999, 'center_y':2, 'center_z':6, 'gaze_x':2.036894, 'gaze_y':2.090467, 'gaze_z':5.999397
'global_time':5.57551, 'center_x':1.999999, 'center_y':2, 'center_z':6, 'gaze_x':2.293686, 'gaze_y':2.114215, 'gaze_z':5.999515
'global_time':5.588646, 'center_x':2.099999, 'center_y':2, 'center_z':6, 'gaze_x':2.418757, 'gaze_y':2.121885, 'gaze_z':5.999604
'global_time':5.601677, 'center_x':2.199999, 'center_y':2, 'center_z':6, 'gaze_x':2.539159, 'gaze_y':2.128313, 'gaze_z':5.999701
'global_time':5.613959, 'center_x':2.299999, 'center_y':2, 'center_z':6, 'gaze_x':2.662612, 'gaze_y':2.138182, 'gaze_z':5.999776
'global_time':5.625965, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':2.790187, 'gaze_y':2.147301, 'gaze_z':5.999865
'global_time':5.638887, 'center_x':2.499998, 'center_y':2, 'center_z':6, 'gaze_x':2.916844, 'gaze_y':2.157899, 'gaze_z':5.999938
'global_time':5.650946, 'center_x':2.599998, 'center_y':2, 'center_z':6, 'gaze_x':3.155848, 'gaze_y':2.178288, 'gaze_z':6.000095
'global_time':5.661694, 'center_x':2.699998, 'center_y':2, 'center_z':6, 'gaze_x':3.270866, 'gaze_y':2.187623, 'gaze_z':6.000173
'global_time':5.67327, 'center_x':2.799998, 'center_y':2, 'center_z':6, 'gaze_x':3.378188, 'gaze_y':2.197507, 'gaze_z':6.000242
'global_time':5.686482, 'center_x':2.899998, 'center_y':2, 'center_z':6, 'gaze_x':3.481487, 'gaze_y':2.205404, 'gaze_z':6.000317
'global_time':5.69863, 'center_x':2.999998, 'center_y':2, 'center_z':6, 'gaze_x':3.579427, 'gaze_y':2.208966, 'gaze_z':6.000401
'global_time':5.710903, 'center_x':3.099998, 'center_y':2, 'center_z':6, 'gaze_x':3.66927, 'gaze_y':2.211401, 'gaze_z':6.000486
'global_time':5.723264, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':3.749945, 'gaze_y':2.210165, 'gaze_z':6.000575
'global_time':5.736711, 'center_x':3.299998, 'center_y':2, 'center_z':6, 'gaze_x':3.819875, 'gaze_y':2.208968, 'gaze_z':6.00065
