'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':3.734318, 'head_position_x':-0.1028783, 'head_position_y':1.69162, 'head_position_z':-0.8645602
'global_time':3.74546, 'head_position_x':-0.1010708, 'head_position_y':1.691685, 'head_position_z':-0.8636967
'global_time':3.757103, 'head_position_x':-0.09923869, 'head_position_y':1.691861, 'head_position_z':-0.8625818
'global_time':3.76988, 'head_position_x':-0.09700134, 'head_position_y':1.692081, 'head_position_z':-0.8615004
'global_time':3.780699, 'head_position_x':-0.0949652, 'head_position_y':1.692183, 'head_position_z':-0.8606664
'global_time':3.792787, 'head_position_x':-0.09292214, 'head_position_y':1.692339, 'head_position_z':-0.8596351
'global_time':3.803512, 'head_position_x':-0.09067908, 'head_position_y':1.692478, 'head_position_z':-0.8587513
'global_time':3.816749, 'head_position_x':-0.08865249, 'head_position_y':1.692598, 'head_position_z':-0.8577923
'global_time':3.828165, 'head_position_x':-0.08649547, 'head_position_y':1.692669, 'head_position_z':-0.8570688
'global_time':3.838253, 'head_position_x':-0.08441676, 'head_position_y':1.692799, 'head_position_z':-0.8561652
'global_time':3.850955, 'head_position_x':-0.08208862, 'head_position_y':1.693042, 'head_position_z':-0.8553087
'global_time':3.863455, 'head_position_x':-0.07994192, 'head_position_y':1.69332, 'head_position_z':-0.8544481
'global_time':3.87501, 'head_position_x':-0.07552337, 'head_position_y':1.693884, 'head_position_z':-0.8530068
