'global_time':2.851491, 'center_x':-1.359999, 'center_y':2, 'center_z':6, 'gaze_x':-1.060774, 'gaze_y':2.189009, 'gaze_z':5.994287
'global_time':2.864392, 'center_x':-1.439999, 'center_y':2, 'center_z':6, 'gaze_x':-1.115663, 'gaze_y':2.216231, 'gaze_z':5.9943
'global_time':2.876149, 'center_x':-1.519999, 'center_y':2, 'center_z':6, 'gaze_x':-1.160355, 'gaze_y':2.210227, 'gaze_z':5.994235
'global_time':2.888287, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-1.198614, 'gaze_y':2.188627, 'gaze_z':5.994233
'global_time':2.900337, 'center_x':-1.679999, 'center_y':2, 'center_z':6, 'gaze_x':-1.257946, 'gaze_y':2.161525, 'gaze_z':5.994286
'global_time':2.914533, 'center_x':-1.759999, 'center_y':2, 'center_z':6, 'gaze_x':-1.313937, 'gaze_y':2.142517, 'gaze_z':5.994308
'global_time':2.926279, 'center_x':-1.839999, 'center_y':2, 'center_z':6, 'gaze_x':-1.423798, 'gaze_y':2.192308, 'gaze_z':5.994252
'global_time':2.937835, 'center_x':-1.919999, 'center_y':2, 'center_z':6, 'gaze_x':-1.587929, 'gaze_y':2.188746, 'gaze_z':5.994333
'global_time':2.948983, 'center_x':-1.999999, 'center_y':2, 'center_z':6, 'gaze_x':-1.665002, 'gaze_y':2.189074, 'gaze_z':5.994252
'global_time':2.962222, 'center_x':-2.079999, 'center_y':2, 'center_z':6, 'gaze_x':-1.757486, 'gaze_y':2.182148, 'gaze_z':5.994338
'global_time':2.977437, 'center_x':-2.159999, 'center_y':2, 'center_z':6, 'gaze_x':-1.840849, 'gaze_y':2.180671, 'gaze_z':5.994323
'global_time':2.991271, 'center_x':-2.239999, 'center_y':2, 'center_z':6, 'gaze_x':-1.923443, 'gaze_y':2.17599, 'gaze_z':5.994399
'global_time':3.003617, 'center_x':-2.319999, 'center_y':2, 'center_z':6, 'gaze_x':-1.794909, 'gaze_y':2.113422, 'gaze_z':5.994354
'global_time':3.015131, 'center_x':-2.399998, 'center_y':2, 'center_z':6, 'gaze_x':-1.93184, 'gaze_y':2.119702, 'gaze_z':5.994442
'global_time':3.025889, 'center_x':-2.479998, 'center_y':2, 'center_z':6, 'gaze_x':-2.066852, 'gaze_y':2.030585, 'gaze_z':5.994436
'global_time':3.039789, 'center_x':-2.559998, 'center_y':2, 'center_z':6, 'gaze_x':-2.737293, 'gaze_y':2.157966, 'gaze_z':5.994412
'global_time':3.052406, 'center_x':-2.639998, 'center_y':2, 'center_z':6, 'gaze_x':-2.811585, 'gaze_y':2.237742, 'gaze_z':5.994432
'global_time':3.064716, 'center_x':-2.719998, 'center_y':2, 'center_z':6, 'gaze_x':-2.893428, 'gaze_y':2.1331, 'gaze_z':5.994511
'global_time':3.077171, 'center_x':-2.799998, 'center_y':2, 'center_z':6, 'gaze_x':-2.952103, 'gaze_y':2.114226, 'gaze_z':5.994469
'global_time':3.089723, 'center_x':-2.879998, 'center_y':2, 'center_z':6, 'gaze_x':-2.925329, 'gaze_y':2.159548, 'gaze_z':5.994511
'global_time':3.102654, 'center_x':-2.959998, 'center_y':2, 'center_z':6, 'gaze_x':-3.051741, 'gaze_y':2.164423, 'gaze_z':5.994531
'global_time':3.114264, 'center_x':-3.039998, 'center_y':2, 'center_z':6, 'gaze_x':-3.060249, 'gaze_y':2.211061, 'gaze_z':5.994558
'global_time':3.126351, 'center_x':-3.119998, 'center_y':2, 'center_z':6, 'gaze_x':-3.061319, 'gaze_y':2.148194, 'gaze_z':5.994698
'global_time':3.13837, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-3.083549, 'gaze_y':2.184307, 'gaze_z':5.994785
'global_time':3.151298, 'center_x':-3.279998, 'center_y':2, 'center_z':6, 'gaze_x':-3.139239, 'gaze_y':2.133033, 'gaze_z':5.994808
'global_time':3.163695, 'center_x':-3.359998, 'center_y':2, 'center_z':6, 'gaze_x':-3.021299, 'gaze_y':2.19351, 'gaze_z':5.994921
'global_time':3.175718, 'center_x':-3.439997, 'center_y':2, 'center_z':6, 'gaze_x':-3.135724, 'gaze_y':2.153368, 'gaze_z':5.994961
'global_time':3.187773, 'center_x':-3.519997, 'center_y':2, 'center_z':6, 'gaze_x':-3.056729, 'gaze_y':2.11923, 'gaze_z':5.994973
'global_time':3.199898, 'center_x':-3.599997, 'center_y':2, 'center_z':6, 'gaze_x':-2.96874, 'gaze_y':2.139822, 'gaze_z':5.995003
'global_time':3.210187, 'center_x':-3.679997, 'center_y':2, 'center_z':6, 'gaze_x':-2.974039, 'gaze_y':2.116901, 'gaze_z':5.995019
'global_time':3.22212, 'center_x':-3.759997, 'center_y':2, 'center_z':6, 'gaze_x':-2.911842, 'gaze_y':2.137376, 'gaze_z':5.995058
'global_time':3.235466, 'center_x':-3.839997, 'center_y':2, 'center_z':6, 'gaze_x':-2.84721, 'gaze_y':2.13167, 'gaze_z':5.995114
'global_time':3.247059, 'center_x':-3.919997, 'center_y':2, 'center_z':6, 'gaze_x':-2.850933, 'gaze_y':2.121427, 'gaze_z':5.995154
'global_time':3.259377, 'center_x':-3.999997, 'center_y':2, 'center_z':6, 'gaze_x':-3.099042, 'gaze_y':2.053565, 'gaze_z':5.995179
'global_time':3.271127, 'center_x':-3.919997, 'center_y':2, 'center_z':6, 'gaze_x':-3.212606, 'gaze_y':2.130051, 'gaze_z':5.995166
'global_time':3.284336, 'center_x':-3.919997, 'center_y':2, 'center_z':6, 'gaze_x':-3.153911, 'gaze_y':2.118154, 'gaze_z':5.995142
'global_time':3.296604, 'center_x':-3.839997, 'center_y':2, 'center_z':6, 'gaze_x':-3.11208, 'gaze_y':2.122463, 'gaze_z':5.995062
'global_time':3.308161, 'center_x':-3.759997, 'center_y':2, 'center_z':6, 'gaze_x':-3.036183, 'gaze_y':2.122893, 'gaze_z':5.995089
'global_time':3.319888, 'center_x':-3.679997, 'center_y':2, 'center_z':6, 'gaze_x':-2.84644, 'gaze_y':2.145932, 'gaze_z':5.995042
'global_time':3.332703, 'center_x':-3.599997, 'center_y':2, 'center_z':6, 'gaze_x':-2.596576, 'gaze_y':2.180907, 'gaze_z':5.995013
'global_time':3.34269, 'center_x':-3.519997, 'center_y':2, 'center_z':6, 'gaze_x':-2.611581, 'gaze_y':2.174292, 'gaze_z':5.994981
'global_time':3.353561, 'center_x':-3.519997, 'center_y':2, 'center_z':6, 'gaze_x':-2.516843, 'gaze_y':2.184407, 'gaze_z':5.994929
'global_time':3.366135, 'center_x':-3.439997, 'center_y':2, 'center_z':6, 'gaze_x':-2.471816, 'gaze_y':2.186422, 'gaze_z':5.994889
'global_time':3.378767, 'center_x':-3.359998, 'center_y':2, 'center_z':6, 'gaze_x':-2.623112, 'gaze_y':2.18851, 'gaze_z':5.994911
'global_time':3.391217, 'center_x':-3.279998, 'center_y':2, 'center_z':6, 'gaze_x':-2.523454, 'gaze_y':2.178237, 'gaze_z':5.994837
'global_time':3.402292, 'center_x':-3.199998, 'center_y':2, 'center_z':6, 'gaze_x':-2.6868, 'gaze_y':2.231302, 'gaze_z':5.994863
'global_time':3.413736, 'center_x':-3.119998, 'center_y':2, 'center_z':6, 'gaze_x':-2.891994, 'gaze_y':2.195881, 'gaze_z':5.994837
