'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':3.129797, 'head_position_x':0.2638662, 'head_position_y':1.738676, 'head_position_z':-0.5563179
'global_time':3.141888, 'head_position_x':0.2634079, 'head_position_y':1.738692, 'head_position_z':-0.5565532
'global_time':3.155256, 'head_position_x':0.2627052, 'head_position_y':1.738625, 'head_position_z':-0.5567037
'global_time':3.166951, 'head_position_x':0.2617288, 'head_position_y':1.738497, 'head_position_z':-0.5569775
'global_time':3.178629, 'head_position_x':0.2608724, 'head_position_y':1.738409, 'head_position_z':-0.5570933
'global_time':3.191313, 'head_position_x':0.2589747, 'head_position_y':1.738472, 'head_position_z':-0.5574331
'global_time':3.20168, 'head_position_x':0.2577898, 'head_position_y':1.738295, 'head_position_z':-0.5574305
'global_time':3.212273, 'head_position_x':0.2567922, 'head_position_y':1.738033, 'head_position_z':-0.5575354
'global_time':3.224425, 'head_position_x':0.2557013, 'head_position_y':1.737801, 'head_position_z':-0.5577803
'global_time':3.236429, 'head_position_x':0.2545516, 'head_position_y':1.737535, 'head_position_z':-0.5581294
'global_time':3.247052, 'head_position_x':0.253376, 'head_position_y':1.737344, 'head_position_z':-0.5586154
'global_time':3.258597, 'head_position_x':0.2522708, 'head_position_y':1.737139, 'head_position_z':-0.5590127
'global_time':3.270076, 'head_position_x':0.2509982, 'head_position_y':1.736997, 'head_position_z':-0.5596077
'global_time':3.284331, 'head_position_x':0.249641, 'head_position_y':1.736687, 'head_position_z':-0.5600845
'global_time':3.297016, 'head_position_x':0.2484719, 'head_position_y':1.736536, 'head_position_z':-0.5605549
'global_time':3.308647, 'head_position_x':0.247152, 'head_position_y':1.736342, 'head_position_z':-0.5610381
'global_time':3.324191, 'head_position_x':0.2441249, 'head_position_y':1.735884, 'head_position_z':-0.5621112
'global_time':3.337431, 'head_position_x':0.2427822, 'head_position_y':1.735683, 'head_position_z':-0.5625723
'global_time':3.349858, 'head_position_x':0.241293, 'head_position_y':1.735361, 'head_position_z':-0.5631629
'global_time':3.361847, 'head_position_x':0.2396295, 'head_position_y':1.735023, 'head_position_z':-0.5637674
'global_time':3.376092, 'head_position_x':0.2380787, 'head_position_y':1.734587, 'head_position_z':-0.5642979
'global_time':3.388417, 'head_position_x':0.2365586, 'head_position_y':1.734253, 'head_position_z':-0.5649133
'global_time':3.400322, 'head_position_x':0.2348231, 'head_position_y':1.733754, 'head_position_z':-0.5658832
'global_time':3.413874, 'head_position_x':0.2316294, 'head_position_y':1.732789, 'head_position_z':-0.5674023
'global_time':3.425485, 'head_position_x':0.2299903, 'head_position_y':1.732224, 'head_position_z':-0.5682824
'global_time':3.438587, 'head_position_x':0.2282132, 'head_position_y':1.731634, 'head_position_z':-0.5690296
'global_time':3.45049, 'head_position_x':0.226685, 'head_position_y':1.730972, 'head_position_z':-0.5699738
'global_time':3.463447, 'head_position_x':0.2253518, 'head_position_y':1.730352, 'head_position_z':-0.5708157
'global_time':3.475911, 'head_position_x':0.2240375, 'head_position_y':1.729769, 'head_position_z':-0.5717214
'global_time':3.488287, 'head_position_x':0.222874, 'head_position_y':1.729154, 'head_position_z':-0.5724213
'global_time':3.499886, 'head_position_x':0.2219831, 'head_position_y':1.728763, 'head_position_z':-0.5729888
'global_time':3.511689, 'head_position_x':0.221278, 'head_position_y':1.728445, 'head_position_z':-0.5735064
'global_time':3.526147, 'head_position_x':0.2205064, 'head_position_y':1.728018, 'head_position_z':-0.5742023
'global_time':3.538219, 'head_position_x':0.2204508, 'head_position_y':1.72784, 'head_position_z':-0.5742999
'global_time':3.549334, 'head_position_x':0.2206488, 'head_position_y':1.727698, 'head_position_z':-0.5744114
'global_time':3.560975, 'head_position_x':0.2208067, 'head_position_y':1.727663, 'head_position_z':-0.5742508
'global_time':3.573854, 'head_position_x':0.2214583, 'head_position_y':1.727697, 'head_position_z':-0.5741129
'global_time':3.58673, 'head_position_x':0.2225961, 'head_position_y':1.727873, 'head_position_z':-0.5736411
'global_time':3.598137, 'head_position_x':0.2234517, 'head_position_y':1.727993, 'head_position_z':-0.5731404
'global_time':3.610545, 'head_position_x':0.2247599, 'head_position_y':1.728189, 'head_position_z':-0.5726485
'global_time':3.621182, 'head_position_x':0.2262307, 'head_position_y':1.728362, 'head_position_z':-0.5719793
'global_time':3.632806, 'head_position_x':0.2277504, 'head_position_y':1.728532, 'head_position_z':-0.5715018
'global_time':3.644584, 'head_position_x':0.2289586, 'head_position_y':1.728669, 'head_position_z':-0.5708449
'global_time':3.654254, 'head_position_x':0.2306687, 'head_position_y':1.728884, 'head_position_z':-0.5704125
'global_time':3.667917, 'head_position_x':0.232444, 'head_position_y':1.729069, 'head_position_z':-0.5696477
'global_time':3.680174, 'head_position_x':0.2359921, 'head_position_y':1.729418, 'head_position_z':-0.5686226
'global_time':3.691929, 'head_position_x':0.2379734, 'head_position_y':1.729571, 'head_position_z':-0.5678867
'global_time':3.704611, 'head_position_x':0.2399174, 'head_position_y':1.729698, 'head_position_z':-0.5675249
'global_time':3.716501, 'head_position_x':0.241742, 'head_position_y':1.729764, 'head_position_z':-0.5673366
'global_time':3.726641, 'head_position_x':0.2437213, 'head_position_y':1.729848, 'head_position_z':-0.5670536
'global_time':3.738733, 'head_position_x':0.2458373, 'head_position_y':1.729927, 'head_position_z':-0.5668074
'global_time':3.752352, 'head_position_x':0.2478529, 'head_position_y':1.729982, 'head_position_z':-0.5665604
'global_time':3.764453, 'head_position_x':0.2498839, 'head_position_y':1.729859, 'head_position_z':-0.5663988
